,Name,Authlink
26,STABLE LIKELIHOOD COMPUTATION FOR MACHINE LEARNING OF LINEAR DIFFERENTIAL OPERATORS WITH GAUSSIAN PROCESSES,https://pureportal.coventry.ac.uk/en/publications/stable-likelihood-computation-for-machine-learning-of-linear-diff
27,SWITCHING TRACKERS FOR EFFECTIVE SENSOR FUSION IN ADVANCED DRIVER ASSISTANCE SYSTEMS,https://pureportal.coventry.ac.uk/en/publications/switching-trackers-for-effective-sensor-fusion-in-advanced-driver
28,THE BENEFITS OF CLUSTERING IN CYLINDRICAL ALGEBRAIC DECOMPOSITION,https://pureportal.coventry.ac.uk/en/publications/the-benefits-of-clustering-in-cylindrical-algebraic-decomposition
29,"THE POLITICS OF MATCHING: ETHNICITY, RELIGION AND MUSLIM-HERITAGE CHILDREN IN CARE IN THE UK",https://pureportal.coventry.ac.uk/en/publications/the-politics-of-matching-ethnicity-religion-and-muslim-heritage-c
30,THE PRACTICE OF AI AND ETHICS IN ENERGY TRANSITION FUTURES,https://pureportal.coventry.ac.uk/en/publications/the-practice-of-ai-and-ethics-in-energy-transition-futures
31,TRANSFER LEARNING BASED CLASSIFICATION OF DIABETIC RETINOPATHY ON THE KAGGLE EYEPACS DATASET,https://pureportal.coventry.ac.uk/en/publications/transfer-learning-based-classification-of-diabetic-retinopathy-on
32,TRUSTWORTHINESS OF SYSTEMATIC REVIEW AUTOMATION: AN INTERVIEW AT COVENTRY UNIVERSITY,https://pureportal.coventry.ac.uk/en/publications/trustworthiness-of-systematic-review-automation-an-interview-at-c
33,USING MACHINE LEARNING FOR ANOMALY DETECTION ON A SYSTEM-ON-CHIP UNDER GAMMA RADIATION,https://pureportal.coventry.ac.uk/en/publications/using-machine-learning-for-anomaly-detection-on-a-system-on-chip-
34,USING MACHINE LEARNING FOR ANOMALY DETECTION ON A SYSTEM-ON-CHIP UNDER GAMMA RADIATION,https://pureportal.coventry.ac.uk/en/publications/using-machine-learning-for-anomaly-detection-on-a-system-on-chip--2
35,USING MACHINE LEARNING IN SC2,https://pureportal.coventry.ac.uk/en/publications/using-machine-learning-in-sc2
36,USING MULTI-OBJECTIVE OPTIMISATION WITH ADM1 AND MEASURED DATA TO IMPROVE THE PERFORMANCE OF AN EXISTING ANAEROBIC DIGESTION SYSTEM,https://pureportal.coventry.ac.uk/en/publications/using-multi-objective-optimisation-with-adm1-and-measured-data-to
37,USING PHYSICS-INFORMED NEURAL NETWORKS TO MODEL THE HYDRO-MORPHODYNAMICS OF MANGROVE ENVIRONMENTS,https://pureportal.coventry.ac.uk/en/publications/using-physics-informed-neural-networks-to-model-the-hydro-morphod
38,WORD REPRESENTATION USING REFINED CONTEXTS,https://pureportal.coventry.ac.uk/en/publications/word-representation-using-refined-contexts
39,ACCESS POINT SELECTION STRATEGIES FOR INDOOR 5G MILLIMETER-WAVE DISTRIBUTED ANTENNA SYSTEMS,https://pureportal.coventry.ac.uk/en/publications/access-point-selection-strategies-for-indoor-5g-millimeter-wave-d
40,ADVERSARIAL LEARNING ON INCOMPLETE AND IMBALANCED MEDICAL DATA FOR ROBUST SURVIVAL PREDICTION OF LIVER TRANSPLANT PATIENTS,https://pureportal.coventry.ac.uk/en/publications/adversarial-learning-on-incomplete-and-imbalanced-medical-data-fo
41,A FULL-PARALLEL IMPLEMENTATION OF SELF-ORGANIZING MAPS ON HARDWARE,https://pureportal.coventry.ac.uk/en/publications/a-full-parallel-implementation-of-self-organizing-maps-on-hardwar
42,A HYBRID FRAMEWORK FOR BRAIN TISSUE SEGMENTATION IN MAGNETIC RESONANCE IMAGES,https://pureportal.coventry.ac.uk/en/publications/a-hybrid-framework-for-brain-tissue-segmentation-in-magnetic-reso
43,A HYBRID FRAMEWORK FOR DETECTING AND ELIMINATING CYBER-ATTACKS IN POWER GRIDS,https://pureportal.coventry.ac.uk/en/publications/a-hybrid-framework-for-detecting-and-eliminating-cyber-attacks-in
44,A JUMP-MARKOV REGULARIZED PARTICLE FILTER FOR THE ESTIMATION OF AMBIGUOUS SENSOR FAULTS,https://pureportal.coventry.ac.uk/en/publications/a-jump-markov-regularized-particle-filter-for-the-estimation-of-a
45,ANALYSIS OF STANDALONE SOLAR STREETLIGHTS FOR IMPROVED ENERGY ACCESS IN DISPLACED SETTLEMENTS,https://pureportal.coventry.ac.uk/en/publications/analysis-of-standalone-solar-streetlights-for-improved-energy-acc
46,AN EMPIRICAL STUDY OF SPAN MODELING IN SCIENCE NER,https://pureportal.coventry.ac.uk/en/publications/an-empirical-study-of-span-modeling-in-science-ner
47,A NEW FUZZY KNOWLEDGE-BASED OPTIMISATION SYSTEM FOR MANAGEMENT OF CONTAINER YARD OPERATIONS,https://pureportal.coventry.ac.uk/en/publications/a-new-fuzzy-knowledge-based-optimisation-system-for-management-of
48,A NEW METHOD FOR SEMI-SUPERVISED SEGMENTATION OF SATELLITE IMAGES,https://pureportal.coventry.ac.uk/en/publications/a-new-method-for-semi-supervised-segmentation-of-satellite-images
49,AN IMPROVED FUZZY KNOWLEDGE-BASED MODEL FOR LONG STAY CONTAINER YARDS,https://pureportal.coventry.ac.uk/en/publications/an-improved-fuzzy-knowledge-based-model-for-long-stay-container-y
50,A PROBABILISTIC PREDICTIVE MODEL FOR ASSESSING THE ECONOMIC REUSABILITY OF LOAD-BEARING BUILDING COMPONENTS: DEVELOPING A CIRCULAR ECONOMY FRAMEWORK,https://pureportal.coventry.ac.uk/en/publications/a-probabilistic-predictive-model-for-assessing-the-economic-reusa
51,A QUATERNION GATED RECURRENT UNIT NEURAL NETWORK FOR SENSOR FUSION,https://pureportal.coventry.ac.uk/en/publications/a-quaternion-gated-recurrent-unit-neural-network-for-sensor-fusio
52,A REVIEW ON COLLISION AVOIDANCE SYSTEMS FOR UNMANNED AERIAL VEHICLES,https://pureportal.coventry.ac.uk/en/publications/a-review-on-collision-avoidance-systems-for-unmanned-aerial-vehic
53,A SURVEY OF EMPIRICAL PERFORMANCE EVALUATION OF PERMISSIONED BLOCKCHAIN PLATFORMS: CHALLENGES AND OPPORTUNITIES,https://pureportal.coventry.ac.uk/en/publications/a-survey-of-empirical-performance-evaluation-of-permissioned-bloc
54,"A TIME SERIES BASED STUDY OF CORRELATION, CHANNEL POWER IMBALANCE AND DIVERSITY GAIN IN INDOOR DISTRIBUTED ANTENNA SYSTEMS AT 60 GHZ",https://pureportal.coventry.ac.uk/en/publications/a-time-series-based-study-of-correlation-channel-power-imbalance-
55,BISPECTRUM-BASED CROSS-FREQUENCY FUNCTIONAL CONNECTIVITY: A STUDY OF ALZHEIMER’S DISEASE,https://pureportal.coventry.ac.uk/en/publications/bispectrum-based-cross-frequency-functional-connectivity-a-study-
56,"BLOCKCHAIN AND SMART CONTRACT FOR ACCESS CONTROL IN HEALTHCARE: A SURVEY, ISSUES AND CHALLENGES, AND OPEN ISSUES",https://pureportal.coventry.ac.uk/en/publications/blockchain-and-smart-contract-for-access-control-in-healthcare-a-
57,BUILDING CAPACITY: HEED SKILLS AUDIT AND RECOMMENDATIONS:  HEED SKILLS AUDIT AND RECOMMENDATIONS,https://pureportal.coventry.ac.uk/en/publications/building-capacity-heed-skills-audit-and-recommendations-heed-skil
58,CELL SITE ANALYSIS; USE AND RELIABILITY OF SURVEY METHODS,https://pureportal.coventry.ac.uk/en/publications/cell-site-analysis-use-and-reliability-of-survey-methods
59,CENTRALISED AND DECENTRALISED SENSOR FUSION‐BASED EMERGENCY BRAKE ASSIST,https://pureportal.coventry.ac.uk/en/publications/centralised-and-decentralised-sensor-fusionbased-emergency-brake-
60,CHARACTERISING ALZHEIMER'S DISEASE WITH EEG-BASED ENERGY LANDSCAPE ANALYSIS,https://pureportal.coventry.ac.uk/en/publications/characterising-alzheimers-disease-with-eeg-based-energy-landscape
61,CRITICAL BEHAVIOR OF MAGNETIC POLYMERS IN TWO AND THREE DIMENSIONS,https://pureportal.coventry.ac.uk/en/publications/critical-behavior-of-magnetic-polymers-in-two-and-three-dimension
62,CSI-COP POLICY BRIEF 1: HOW CITIZEN SCIENCE CAN ADD VALUE TO INVESTIGATE COMPLIANCE OF THE GENERAL DATA PROTECTION REGULATION (GDPR). ,https://pureportal.coventry.ac.uk/en/publications/csi-cop-policy-brief-1-how-citizen-science-can-add-value-to-inves
63,CSI-COP - 'YOUR RIGHT TO PRIVACY ONLINE',https://pureportal.coventry.ac.uk/en/publications/csi-cop-your-right-to-privacy-online
64,DECIDING THE CONSISTENCY OF NON-LINEAR REAL ARITHMETIC CONSTRAINTS WITH A CONFLICT DRIVEN SEARCH USING CYLINDRICAL ALGEBRAIC COVERINGS,https://pureportal.coventry.ac.uk/en/publications/deciding-the-consistency-of-non-linear-real-arithmetic-constraint
65,DIVERSITY COLLABORATIVELY GUIDED RANDOM DRIFT PARTICLE SWARM OPTIMIZATION,https://pureportal.coventry.ac.uk/en/publications/diversity-collaboratively-guided-random-drift-particle-swarm-opti
66,DMO-QPSO: A MULTI-OBJECTIVE QUANTUM-BEHAVED PARTICLE SWARM OPTIMIZATION ALGORITHM BASED ON DECOMPOSITION WITH DIVERSITY CONTROL,https://pureportal.coventry.ac.uk/en/publications/dmo-qpso-a-multi-objective-quantum-behaved-particle-swarm-optimiz
67,ECONOMIC EVALUATION OF MENTAL HEALTH EFFECTS OF FLOODING USING BAYESIAN NETWORKS,https://pureportal.coventry.ac.uk/en/publications/economic-evaluation-of-mental-health-effects-of-flooding-using-ba
68,EFFICIENT ACTIVITY RECOGNITION USING LIGHTWEIGHT CNN AND DS-GRU NETWORK FOR SURVEILLANCE APPLICATIONS,https://pureportal.coventry.ac.uk/en/publications/efficient-activity-recognition-using-lightweight-cnn-and-ds-gru-n
69,EFIMOV-DNA PHASE DIAGRAM: THREE STRANDED DNA ON A CUBIC LATTICE,https://pureportal.coventry.ac.uk/en/publications/efimov-dna-phase-diagram-three-stranded-dna-on-a-cubic-lattice
70,ENSURE: ENERGY & ACCURACY AWARE FAULT-TOLERANT SCHEDULING ON REAL-TIME HETEROGENEOUS SYSTEMS,https://pureportal.coventry.ac.uk/en/publications/ensure-energy-amp-accuracy-aware-fault-tolerant-scheduling-on-rea
71,EVALUATION OF A SWITCHED COMBINING BASED DISTRIBUTED ANTENNA SYSTEM (DAS) FOR PEDESTRIAN-TO-VEHICLE COMMUNICATIONS,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-a-switched-combining-based-distributed-antenna-syst
72,FINDING THE UNCOMFORTABLE SOLUTION: RESPONSIBLE INNOVATION IN HUMANITARIAN ENERGY,https://pureportal.coventry.ac.uk/en/publications/finding-the-uncomfortable-solution-responsible-innovation-in-huma
73,GENERATION OF PEDESTRIAN CROSSING SCENARIOS USING PED-CROSS GENERATIVE ADVERSARIAL NETWORK,https://pureportal.coventry.ac.uk/en/publications/generation-of-pedestrian-crossing-scenarios-using-ped-cross-gener
74,GENERATIVE ADVERSARIAL NETWORK-BASED SCHEME FOR DIAGNOSING FAULTS IN CYBER-PHYSICAL POWER SYSTEMS,https://pureportal.coventry.ac.uk/en/publications/generative-adversarial-network-based-scheme-for-diagnosing-faults
75,GUEST EDITORIAL: SPECIAL ISSUE ON DEEP REPRESENTATION AND TRANSFER LEARNING FOR SMART AND CONNECTED HEALTH,https://pureportal.coventry.ac.uk/en/publications/guest-editorial-special-issue-on-deep-representation-and-transfer
76,IMPROVING ALGEBRAIC TOOLS TO STUDY BIFURCATION SEQUENCES OF POPULATION MODELS,https://pureportal.coventry.ac.uk/en/publications/improving-algebraic-tools-to-study-bifurcation-sequences-of-popul
77,IMPROVING SKIN CANCER CLASSIFICATION USING HEAVY-TAILED STUDENT T-DISTRIBUTION IN GENERATIVE ADVERSARIAL NETWORKS (TED-GAN),https://pureportal.coventry.ac.uk/en/publications/improving-skin-cancer-classification-using-heavy-tailed-student-t
78,INVESTIGATING THE EFFECTS OF TWO FRAGRANCES ON COMFORT IN THE AUTOMOTIVE CONTEXT,https://pureportal.coventry.ac.uk/en/publications/investigating-the-effects-of-two-fragrances-on-comfort-in-the-aut
79,IOT-ENABLED LIGHT INTENSITY-CONTROLLED SEAMLESS HIGHWAY LIGHTING SYSTEM,https://pureportal.coventry.ac.uk/en/publications/iot-enabled-light-intensity-controlled-seamless-highway-lighting-
80,IO-VNBD: INERTIAL AND ODOMETRY BENCHMARK DATASET FOR GROUND VEHICLE POSITIONING,https://pureportal.coventry.ac.uk/en/publications/io-vnbd-inertial-and-odometry-benchmark-dataset-for-ground-vehicl-2
81,LEARNING TO LOCALISE AUTOMATED VEHICLES IN CHALLENGING ENVIRONMENTS USING INERTIAL NAVIGATION SYSTEMS (INS),https://pureportal.coventry.ac.uk/en/publications/learning-to-localise-automated-vehicles-in-challenging-environmen
82,LEARNING UNCERTAINTIES IN WHEEL ODOMETRY FOR VEHICULAR LOCALISATION IN GNSS DEPRIVED ENVIRONMENTS,https://pureportal.coventry.ac.uk/en/publications/learning-uncertainties-in-wheel-odometry-for-vehicular-localisati
83,MEASURING LOCAL SENSITIVITY IN BAYESIAN INFERENCE USING A NEW CLASS OF METRICS,https://pureportal.coventry.ac.uk/en/publications/measuring-local-sensitivity-in-bayesian-inference-using-a-new-cla
84,MOBILE COMPUTING AND COMMUNICATIONS-DRIVEN FOG-ASSISTED DISASTER EVACUATION TECHNIQUES FOR CONTEXT-AWARE GUIDANCE SUPPORT: A SURVEY,https://pureportal.coventry.ac.uk/en/publications/mobile-computing-and-communications-driven-fog-assisted-disaster-
85,MODELLING THE EFFECT OF MARKET FORCES ON THE IMPACT OF INTRODUCING HUMAN IMMUNODEFICIENCY VIRUS PRE‐EXPOSURE PROPHYLAXIS AMONG FEMALE SEX WORKERS,https://pureportal.coventry.ac.uk/en/publications/modelling-the-effect-of-market-forces-on-the-impact-of-introducin
86,MSLDOCK: MULTI-SWARM OPTIMIZATION FOR FLEXIBLE LIGAND DOCKING AND VIRTUAL SCREENING,https://pureportal.coventry.ac.uk/en/publications/msldock-multi-swarm-optimization-for-flexible-ligand-docking-and-
87,MULTI-PHASE LOCKING VALUE: A GENERALIZED METHOD FOR DETERMINING INSTANTANEOUS MULTI-FREQUENCY PHASE COUPLING,https://pureportal.coventry.ac.uk/en/publications/multi-phase-locking-value-a-generalized-method-for-determining-in
88,NONLINEAR ESTIMATION OF SENSOR FAULTS WITH UNKNOWN DYNAMICS FOR A FIXED WING UNMANNED AERIAL VEHICLE,https://pureportal.coventry.ac.uk/en/publications/nonlinear-estimation-of-sensor-faults-with-unknown-dynamics-for-a
89,NONLINEAR SYSTEM IDENTIFICATION OF NEURAL SYSTEMS FROM NEUROPHYSIOLOGICAL SIGNALS,https://pureportal.coventry.ac.uk/en/publications/nonlinear-system-identification-of-neural-systems-from-neurophysi-2
90,NOVEL LOCKSTEP-BASED FAULT MITIGATION APPROACH FOR SOCS WITH ROLL-BACK AND ROLL-FORWARD RECOVERY,https://pureportal.coventry.ac.uk/en/publications/novel-lockstep-based-fault-mitigation-approach-for-socs-with-roll
91,OPTIMISING FEEDSTOCK FLOWRATE TO IMPROVE THE PERFORMANCE OF AN EXISTING ANAEROBIC DIGESTION SYSTEM.,https://pureportal.coventry.ac.uk/en/publications/optimising-feedstock-flowrate-to-improve-the-performance-of-an-ex
92,PEDESTRIAN AND VEHICLE DETECTION IN AUTONOMOUS VEHICLE PERCEPTION SYSTEMS—A REVIEW,https://pureportal.coventry.ac.uk/en/publications/pedestrian-and-vehicle-detection-in-autonomous-vehicle-perception
93,"PREDICTING MORTALITY, DURATION OF TREATMENT, PULMONARY EMBOLISM AND REQUIRED CEILING OF VENTILATORY SUPPORT FOR COVID-19 INPATIENTS: A MACHINE-LEARNING APPROACH",https://pureportal.coventry.ac.uk/en/publications/predicting-mortality-duration-of-treatment-pulmonary-embolism-and
94,PREDICTING THE TECHNICAL REUSABILITY OF LOAD-BEARING BUILDING COMPONENTS: A PROBABILISTIC APPROACH TOWARDS DEVELOPING A CIRCULAR ECONOMY FRAMEWORK,https://pureportal.coventry.ac.uk/en/publications/predicting-the-technical-reusability-of-load-bearing-building-com
95,PROVING UNSAT IN SMT: THE CASE OF QUANTIFIER FREE NON-LINEAR REAL ARITHMETIC,https://pureportal.coventry.ac.uk/en/publications/proving-unsat-in-smt-the-case-of-quantifier-free-non-linear-real-
96,REAL-TIME REGISTRATION OF 3D ECHO TO X-RAY FLUOROSCOPY BASED ON CASCADING CLASSIFIERS AND IMAGE REGISTRATION,https://pureportal.coventry.ac.uk/en/publications/real-time-registration-of-3d-echo-to-x-ray-fluoroscopy-based-on-c
97,SCENARIO OPTIMISATION AND SENSITIVITY ANALYSIS FOR SAFE AUTOMATED DRIVING USING GAUSSIAN PROCESSES,https://pureportal.coventry.ac.uk/en/publications/scenario-optimisation-and-sensitivity-analysis-for-safe-automated
98,SECURITY IMPROVEMENT FOR ENERGY HARVESTING BASED OVERLAY COGNITIVE NETWORKS WITH JAMMING-ASSISTED FULL-DUPLEX DESTINATIONS,https://pureportal.coventry.ac.uk/en/publications/security-improvement-for-energy-harvesting-based-overlay-cognitiv
99,SIMULTANEOUS ACTUATOR AND SENSOR FAULTS ESTIMATION FOR AIRCRAFT USING A JUMP-MARKOV REGULARIZED PARTICLE FILTER,https://pureportal.coventry.ac.uk/en/publications/simultaneous-actuator-and-sensor-faults-estimation-for-aircraft-u
100,SSF: SMART CITY SEMANTICS FRAMEWORK FOR REUSABILITY OF SEMANTIC DATA,https://pureportal.coventry.ac.uk/en/publications/ssf-smart-city-semantics-framework-for-reusability-of-semantic-da
101,THE CHALLENGES OF COMMUNITY-BASED SOLAR ENERGY INTERVENTIONS: LESSONS FROM TWO RWANDAN REFUGEE CAMPS,https://pureportal.coventry.ac.uk/en/publications/the-challenges-of-community-based-solar-energy-interventions-less
102,THE DEWCAD PROJECT: PUSHING BACK THE DOUBLY EXPONENTIAL WALL OF CYLINDRICAL ALGEBRAIC DECOMPOSITION,https://pureportal.coventry.ac.uk/en/publications/the-dewcad-project-pushing-back-the-doubly-exponential-wall-of-cy
103,THE EPIDEMIOLOGICAL LANDSCAPE OF ANEMIA IN WOMEN OF REPRODUCTIVE AGE IN SUB-SAHARAN AFRICA,https://pureportal.coventry.ac.uk/en/publications/the-epidemiological-landscape-of-anemia-in-women-of-reproductive-
104,"THE SALIENCE OF ISLAM TO MUSLIM HERITAGE CHILDREN’S EXPERIENCES OF IDENTITY, FAMILY, AND WELL-BEING IN FOSTER CARE",https://pureportal.coventry.ac.uk/en/publications/the-salience-of-islam-to-muslim-heritage-childrens-experiences-of
105,TOPIC MODELLING IN PRECISION MEDICINE WITH ITS APPLICATIONS IN PERSONALIZED DIABETES MANAGEMENT,https://pureportal.coventry.ac.uk/en/publications/topic-modelling-in-precision-medicine-with-its-applications-in-pe
106,TOWARDS ALGORITHM-FREE PHYSICAL EQUILIBRIUM MODEL OF COMPUTING,https://pureportal.coventry.ac.uk/en/publications/towards-algorithm-free-physical-equilibrium-model-of-computing
107,UNDERSTANDING HIV AND ASSOCIATED RISK FACTORS AMONG RELIGIOUS GROUPS IN ZIMBABWE,https://pureportal.coventry.ac.uk/en/publications/understanding-hiv-and-associated-risk-factors-among-religious-gro
108,UNPACKING GENDER AND SEXUALITY IN CONTEMPORARY MORMONISM,https://pureportal.coventry.ac.uk/en/publications/unpacking-gender-and-sexuality-in-contemporary-mormonism
109,UNSUPERVISED DOPPLER RADAR BASED ACTIVITY RECOGNITION FOR E-HEALTHCARE,https://pureportal.coventry.ac.uk/en/publications/unsupervised-doppler-radar-based-activity-recognition-for-e-healt
110,USING MACHINE LEARNING ALGORITHMS TO DEVELOP A CLINICAL DECISION-MAKING TOOL FOR COVID-19 INPATIENTS,https://pureportal.coventry.ac.uk/en/publications/using-machine-learning-algorithms-to-develop-a-clinical-decision-
111,WHONET: WHEEL ODOMETRY NEURAL NETWORK FOR VEHICULAR LOCALISATION IN GNSS-DEPRIVED ENVIRONMENTS,https://pureportal.coventry.ac.uk/en/publications/whonet-wheel-odometry-neural-network-for-vehicular-localisation-i
112,"WORKING TOWARDS MODERN, AFFORDABLE & SUSTAINABLE ENERGY SYSTEMS IN THE CONTEXT OF DISPLACEMENT: RECOMMENDATIONS FOR RESEARCHERS AND PRACTITIONERS",https://pureportal.coventry.ac.uk/en/publications/working-towards-modern-affordable-amp-sustainable-energy-systems-
113,"‘COME, FOLLOW ME’, THE SACRALISING OF THE HOME, AND THE GUARDIAN OF THE FAMILY: HOW DO EUROPEAN WOMEN NEGOTIATE THE DOMESTIC SPACE IN THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS?",https://pureportal.coventry.ac.uk/en/publications/come-follow-me-the-sacralising-of-the-home-and-the-guardian-of-th
114,A LEAP FROM RANDOMIZED TO QUANTUM CLUSTERING WITH SUPPORT VECTOR MACHINE - A COMPUTATION COMPLEXITY ANALYSIS,https://pureportal.coventry.ac.uk/en/publications/a-leap-from-randomized-to-quantum-clustering-with-support-vector-
115,A LOW COST AND HIGHLY ACCURATE TECHNIQUE FOR BIG DATA SPATIAL-TEMPORAL INTERPOLATION,https://pureportal.coventry.ac.uk/en/publications/a-low-cost-and-highly-accurate-technique-for-big-data-spatial-tem
116,A MACHINE LEARNING BASED SOFTWARE PIPELINE TO PICK THE VARIABLE ORDERING FOR ALGORITHMS WITH POLYNOMIAL INPUTS,https://pureportal.coventry.ac.uk/en/publications/a-machine-learning-based-software-pipeline-to-pick-the-variable-o
117,A NEW HARDWARE APPROACH TO SELF-ORGANIZING MAPS,https://pureportal.coventry.ac.uk/en/publications/a-new-hardware-approach-to-self-organizing-maps
118,A SCALABLE HYBRID MAC STRATEGY FOR TRAFFIC-DIFFERENTIATED IOT-ENABLED INTRA-VEHICULAR NETWORKS,https://pureportal.coventry.ac.uk/en/publications/a-scalable-hybrid-mac-strategy-for-traffic-differentiated-iot-ena
